2020-09-30 15:57:38.010 .\Logs\2020-09-30 15-57-38.txt is created.
2020-09-30 15:57:41.055 [INFO]    Mark: 1 sent!
2020-09-30 15:57:41.072 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.100 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.117 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.133 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.159 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.179 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.207 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.225 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.253 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.271 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.289 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.317 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.335 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.351 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.379 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.397 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.413 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.444 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.462 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.478 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.505 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.523 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.551 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.569 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.585 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.613 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.631 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.649 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.665 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.693 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.711 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.727 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.755 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.773 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.789 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.817 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.835 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.863 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.880 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.898 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.914 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.942 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.960 [INFO]    Mark: 5 sent!
2020-09-30 15:57:41.988 [INFO]    Mark: 5 sent!
2020-09-30 15:57:42.006 [INFO]    Mark: 5 sent!
2020-09-30 15:57:42.024 [INFO]    Mark: 5 sent!
2020-09-30 15:57:42.052 [INFO]    Mark: 5 sent!
2020-09-30 15:57:42.069 [INFO]    Mark: 5 sent!
2020-09-30 15:57:42.097 [INFO]    Mark: 5 sent!
2020-09-30 15:57:42.115 [INFO]    Mark: 5 sent!
2020-09-30 15:57:42.133 [INFO]    Mark: 5 sent!
2020-09-30 15:57:42.161 [INFO]    Mark: 5 sent!
2020-09-30 15:57:42.179 [INFO]    Mark: 5 sent!
2020-09-30 15:57:42.195 [INFO]    Mark: 5 sent!
2020-09-30 15:57:42.223 [INFO]    Mark: 5 sent!
2020-09-30 15:57:42.240 [INFO]    Mark: 5 sent!
2020-09-30 15:57:42.258 [INFO]    Mark: 5 sent!
2020-09-30 15:57:42.285 [INFO]    Mark: 5 sent!
2020-09-30 15:57:42.302 [INFO]    Mark: 5 sent!
2020-09-30 15:57:42.320 [INFO]    Mark: 5 sent!
2020-09-30 15:57:42.348 [INFO]    Mark: 5 sent!
2020-09-30 15:57:42.366 [INFO]    Mark: 5 sent!
