2020-09-30 16:25:57.305 .\Logs\2020-09-30 16-25-57.txt is created.
2020-09-30 16:26:01.187 [INFO]    Mark: 1 sent!
2020-09-30 16:26:01.203 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.218 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.234 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.249 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.265 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.280 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.295 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.310 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.326 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.341 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.358 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.373 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.388 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.404 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.419 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.435 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.450 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.465 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.480 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.495 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.510 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.526 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.541 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.556 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.572 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.587 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.602 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.618 [INFO]    Mark: 5 sent!
2020-09-30 16:26:01.633 [INFO]    Mark: 5 sent!
