2020-09-30 15:58:28.068 .\Logs\2020-09-30 15-58-28.txt is created.
2020-09-30 15:58:33.810 [INFO]    Mark: 1 sent!
2020-09-30 15:58:34.817 [INFO]    Mark: 5 sent!
2020-09-30 15:58:35.832 [INFO]    Mark: 5 sent!
2020-09-30 15:58:36.850 [INFO]    Mark: 5 sent!
2020-09-30 15:58:37.864 [INFO]    Mark: 5 sent!
2020-09-30 15:58:38.881 [INFO]    Mark: 5 sent!
2020-09-30 15:58:39.894 [INFO]    Mark: 5 sent!
2020-09-30 15:58:40.912 [INFO]    Mark: 5 sent!
2020-09-30 15:58:41.928 [INFO]    Mark: 5 sent!
2020-09-30 15:58:42.942 [INFO]    Mark: 5 sent!
2020-09-30 15:58:43.960 [INFO]    Mark: 5 sent!
