2020-09-30 16:20:38.276 .\Logs\2020-09-30 16-20-38.txt is created.
2020-09-30 16:20:40.161 [INFO]    Mark: 1 sent!
2020-09-30 16:20:40.177 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.193 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.209 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.225 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.241 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.257 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.273 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.289 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.305 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.322 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.341 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.358 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.375 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.391 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.407 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.423 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.439 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.455 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.471 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.487 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.503 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.520 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.536 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.553 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.570 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.587 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.603 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.619 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.635 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.651 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.667 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.684 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.701 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.717 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.734 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.750 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.767 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.783 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.799 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.815 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.831 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.847 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.863 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.880 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.897 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.914 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.931 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.948 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.964 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.981 [INFO]    Mark: 5 sent!
2020-09-30 16:20:40.997 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.012 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.028 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.045 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.061 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.078 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.095 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.111 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.128 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.145 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.162 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.179 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.195 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.211 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.227 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.243 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.259 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.275 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.291 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.307 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.323 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.339 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.355 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.371 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.387 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.403 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.419 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.435 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.451 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.467 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.483 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.499 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.515 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.531 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.547 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.563 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.579 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.595 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.611 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.627 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.643 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.659 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.675 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.691 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.707 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.722 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.738 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.754 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.771 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.788 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.805 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.822 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.839 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.855 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.871 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.887 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.904 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.919 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.936 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.952 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.968 [INFO]    Mark: 5 sent!
2020-09-30 16:20:41.984 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.000 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.016 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.031 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.047 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.063 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.079 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.095 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.111 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.127 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.143 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.159 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.176 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.193 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.210 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.227 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.244 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.261 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.277 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.293 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.309 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.325 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.341 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.356 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.372 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.388 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.404 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.420 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.437 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.454 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.471 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.487 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.503 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.519 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.535 [INFO]    Mark: 5 sent!
2020-09-30 16:20:42.552 [INFO]    Mark: 5 sent!
